Municipality of residence,People,Average age
08015 Badalona,218610,40.61
26023 Badarán,590,53.2
08904 Badia del Vallès,13605,41.04
41014 Badolatosa,3205,39.23
22043 Baélls,115,58.62
14007 Baena,19750,39.25
23009 Baeza,16335,39.88
08016 Bagà,2315,45.29
44033 Báguena,365,55.55
47012 Bahabón,160,62.11
09033 Bahabón de Esgueva,115,63.94
19047 Baides,90,44.19
23010 Bailén,18660,38.34
22044 Bailo,315,49.44
36003 Baiona,11920,41.93
25039 Baix Pallars,360,49.61
31044 Bakaiku,335,48.38
48012 Bakio,2575,41.7
25040 Balaguer,16700,39.95
02012 Balazote,2395,40.54
"09034 Balbases, Los",325,55.45
24009 Balboa,365,59.03
22045 Baldellou,110,54.33
27004 Baleira,1465,54.33
08017 Balenyà,3695,39.78
20904 Baliarrain,125,40.28
"02014 Ballestero, El",460,47.59
13022 Ballesteros de Calatrava,460,49.06
22046 Ballobar,945,47.96
48090 Balmaseda,7610,44.32
03020 Balones,145,49.62
02013 Balsa de Ves,180,52.22
08018 Balsareny,3455,43.33
34022 Baltanás,1290,49.32
32005 Baltar,1040,56.35
